label,latitude,longitude,region,department,class_name,nearest_train_station
bersaillin,46.857207383,5.595263907,bourgogne franche comté,jura,city,St-Lothain
bracon,46.925701949,5.868310395,bourgogne franche comté,jura,city,Mouchard
buvilly,46.869681049,5.725636745,bourgogne franche comté,jura,city,Poligny
cernon,46.412315932,5.643405536,bourgogne franche comté,jura,city,Molinges
les chalesmes,46.692139123,6.026439714,bourgogne franche comté,jura,city,La Chaux-des-Crotenay
charency,46.766948662,5.991886106,bourgogne franche comté,jura,city,Paul-Émile-Victor
charezier,46.614530533,5.726955677,bourgogne franche comté,jura,city,Lons-le-Saunier
chateau chalon,46.759243277,5.648414693,bourgogne franche comté,jura,city,Domblans-Voiteur
le chateley,46.879800002,5.5442929450000005,bourgogne franche comté,jura,city,St-Lothain
chatillon,46.663026475,5.727169626,bourgogne franche comté,jura,city,Lons-le-Saunier
nanchez,46.500781245,5.861824827,bourgogne franche comté,jura,city,St-Laurent (Jura)
chaux champagny,46.884154623,5.879711162,bourgogne franche comté,jura,city,Andelot
chille,46.693041196,5.571909283,bourgogne franche comté,jura,city,Lons-le-Saunier
chilly sur salins,46.870199969,5.858210036,bourgogne franche comté,jura,city,Andelot
chissey sur loue,47.060399995,5.740191409,bourgogne franche comté,jura,city,Arc-et-Senans
commenailles,46.805895385,5.437128703,bourgogne franche comté,jura,city,Domblans-Voiteur
courlans,46.676012788,5.487388674,bourgogne franche comté,jura,city,Lons-le-Saunier
courlaoux,46.669676119,5.449171257,bourgogne franche comté,jura,city,Lons-le-Saunier
courtefontaine,47.132677999,5.792778762,bourgogne franche comté,jura,city,Byans
coyron,46.512641842,5.697033148,bourgogne franche comté,jura,city,Molinges
hauteroche,46.699491802,5.697212623,bourgogne franche comté,jura,city,Domblans-Voiteur
crenans,46.466529395,5.7419862340000005,bourgogne franche comté,jura,city,Molinges
crissey,47.051054482,5.478654585,bourgogne franche comté,jura,city,Tavaux-Solvay
dampierre,47.173242784,5.742542149,bourgogne franche comté,jura,city,Ranchot
denezieres,46.623880768,5.801157366,bourgogne franche comté,jura,city,La Chaux-des-Crotenay
le deschaux,46.950886325,5.498571507,bourgogne franche comté,jura,city,Tavaux-Solvay
les deux fays,46.885617586,5.487783703,bourgogne franche comté,jura,city,St-Lothain
digna,46.518360263,5.38498466,bourgogne franche comté,jura,city,Cousance
dole,47.075502708,5.500897034,bourgogne franche comté,jura,city,Dole
dompierre sur mont,46.562417185,5.612866077,bourgogne franche comté,jura,city,Lons-le-Saunier
dramelay,46.404302536,5.52954359,bourgogne franche comté,jura,city,St-Amour
val d epy,46.389785344,5.397605725,bourgogne franche comté,jura,city,St-Amour
val d epy,46.389785344,5.397605725,bourgogne franche comté,jura,city,St-Amour
equevillon,46.760836092,5.9428508650000005,bourgogne franche comté,jura,city,Paul-Émile-Victor
alos,42.897888566,1.129211246,occitanie,ariège,city,Lestelle
etival,46.492221957,5.793862303,bourgogne franche comté,jura,city,St-Claude
arignac,42.87585768,1.595543477,occitanie,ariège,city,Tarascon-sur-Ariège
francheville,46.836292538,5.502884384,bourgogne franche comté,jura,city,St-Lothain
artigues,42.689846976,2.037910827,occitanie,ariège,city,Mérens-les-Vals
le frasnois,46.636351633,5.890811397,bourgogne franche comté,jura,city,La Chaux-des-Crotenay
aulus les bains,42.766542296,1.355768892,occitanie,ariège,city,Tarascon-sur-Ariège
geraise,46.958660024,5.954886904,bourgogne franche comté,jura,city,Andelot
balacet,42.887117793,0.98278804,occitanie,ariège,city,Lestelle
germigney,47.037391858,5.6858203320000005,bourgogne franche comté,jura,city,Montbarrey
la bastide de bousignac,43.058173549,1.884852447,occitanie,ariège,city,Varilhes
gevingey,46.638116747,5.50962812,bourgogne franche comté,jura,city,Lons-le-Saunier
la bastide de serou,43.024895448,1.392649757,occitanie,ariège,city,St-Jean-de-Verges
grande riviere chateau,46.528638867,5.909426948,bourgogne franche comté,jura,city,St-Laurent (Jura)
la bastide sur l hers,42.950959843,1.89986243,occitanie,ariège,city,Foix
graye et charnay,46.473281265,5.44835224,bourgogne franche comté,jura,city,Cousance
belloc,43.00739017,1.933669882,occitanie,ariège,city,Limoux-Flassian
ivrey,46.989178766,5.896461266,bourgogne franche comté,jura,city,Mouchard
benaix,42.895305448,1.850852879,occitanie,ariège,city,Luzenac-Garanou
ladoye sur seille,46.767223289,5.682794409,bourgogne franche comté,jura,city,Domblans-Voiteur
bethmale,42.853965958,1.07673861,occitanie,ariège,city,Lestelle
bordes uchentein,42.837369269,1.032045893,occitanie,ariège,city,Marignac-St-Béat
